"old_url","new_url","status","reason"
"/project/","/projects/","301","Consolidate legacy project archive"
"/category/นานาสาระงานก่อสร้าง/","/blog/","301","Consolidate article archive"
"/author/mon012/","/blog/","301","Remove author archive"
"/tag/hilti/","/services/hilti-services/","301","Move tag to relevant service"
"/tag/พุกเคมี/","/products/chemical-anchors/","301","Move tag to relevant category"
"/tag/พุกตะกั่ว/","/products/mechanical-bolt/","301","Move tag to relevant category"
"/project_category/บริการเจาะพื้นคอริ่ง-coring/","/services/coring/","301","Move taxonomy to service"
"/project_category/บริการเจาะติดตั้งพุกเค/","/services/anchor/","301","Move taxonomy to service"
"/project_category/บริการยิงโฟมและฉีด-epoxy/","/services/floor-repair/","301","Move taxonomy to service"
"/layout_type/layout/","/","301","Remove Divi utility archive"
"/layout_type/module/","/","301","Remove Divi utility archive"
"/layout_type/row/","/","301","Remove Divi utility archive"
"/module_width/regular/","/","301","Remove Divi utility archive"
"/scope/","/","301","Remove WordPress utility route"
"/scope/not_global/","/","301","Consolidate legacy taxonomy or utility route"
"/scope/global/","/","301","Consolidate legacy taxonomy or utility route"
"/project_tag/อยุธยา/","/projects/","301","Consolidate legacy taxonomy or utility route"
"/project_tag/สระบุรี/","/projects/","301","Consolidate legacy taxonomy or utility route"
"/project_tag/บางนา/","/projects/","301","Consolidate legacy taxonomy or utility route"
"/project_tag/นครปฐม/","/projects/","301","Consolidate legacy taxonomy or utility route"
"/project_tag/กรุงเทพ/","/projects/","301","Consolidate legacy taxonomy or utility route"
"/project_tag/กบินทร์บุรี/","/projects/","301","Consolidate legacy taxonomy or utility route"
"/author/sbcc/","/blog/","301","Consolidate legacy taxonomy or utility route"
